Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0.00215
Sample Interval,1e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH1-CH2>"
-2.850000e-03,0.00292969
-2.849900e-03,0.00287969
-2.849800e-03,0.00272188
-2.849700e-03,0.00265625
-2.849600e-03,0.00264375
-2.849500e-03,0.00268906
-2.849400e-03,0.00271406
-2.849300e-03,0.00289375
-2.849200e-03,0.00261406
-2.849100e-03,0.00262969
-2.849000e-03,0.0029125
-2.848900e-03,0.00274688
-2.848800e-03,0.0027625
-2.848700e-03,0.0027625
-2.848600e-03,0.00256719
-2.848500e-03,0.00273125
-2.848400e-03,0.0029125
-2.848300e-03,0.00284688
-2.848200e-03,0.00287656
-2.848100e-03,0.00256406
-2.848000e-03,0.00267969
-2.847900e-03,0.00255
-2.847800e-03,0.00258906
-2.847700e-03,0.00269219
-2.847600e-03,0.0026
-2.847500e-03,0.00264375
-2.847400e-03,0.00288906
-2.847300e-03,0.00271719
-2.847200e-03,0.00273125
-2.847100e-03,0.0028875
-2.847000e-03,0.00262656
-2.846900e-03,0.00251719
-2.846800e-03,0.00265156
-2.846700e-03,0.00276406
-2.846600e-03,0.00285469
-2.846500e-03,0.00271875
-2.846400e-03,0.00268594
-2.846300e-03,0.00259688
-2.846200e-03,0.0026
-2.846100e-03,0.00256875
-2.846000e-03,0.00277969
-2.845900e-03,0.00259688
-2.845800e-03,0.00260938
-2.845700e-03,0.00253906
-2.845600e-03,0.00275625
-2.845500e-03,0.00246719
-2.845400e-03,0.00279375
-2.845300e-03,0.00269375
-2.845200e-03,0.00286406
-2.845100e-03,0.00267656
-2.845000e-03,0.00292187
-2.844900e-03,0.00266406
-2.844800e-03,0.00271094
-2.844700e-03,0.00283594
-2.844600e-03,0.0027625
-2.844500e-03,0.00262344
-2.844400e-03,0.00273125
-2.844300e-03,0.00256094
-2.844200e-03,0.00270625
-2.844100e-03,0.00283438
-2.844000e-03,0.00277188
-2.843900e-03,0.00285156
-2.843800e-03,0.00260938
-2.843700e-03,0.00246875
-2.843600e-03,0.00284219
-2.843500e-03,0.00265469
-2.843400e-03,0.00268125
-2.843300e-03,0.00277188
-2.843200e-03,0.00255938
-2.843100e-03,0.00288125
-2.843000e-03,0.00289219
-2.842900e-03,0.00269375
-2.842800e-03,0.00243906
-2.842700e-03,0.00276875
-2.842600e-03,0.00289688
-2.842500e-03,0.00261406
-2.842400e-03,0.002675
-2.842300e-03,0.0031625
-2.842200e-03,0.00288125
-2.842100e-03,0.00263437
-2.842000e-03,0.00286406
-2.841900e-03,0.00278125
-2.841800e-03,0.00306719
-2.841700e-03,0.00278437
-2.841600e-03,0.00276719
-2.841500e-03,0.00294219
-2.841400e-03,0.0027125
-2.841300e-03,0.00274219
-2.841200e-03,0.00277969
-2.841100e-03,0.00279375
-2.841000e-03,0.00279375
-2.840900e-03,0.00270469
-2.840800e-03,0.00272188
-2.840700e-03,0.00267656
-2.840600e-03,0.00274219
-2.840500e-03,0.00273125
-2.840400e-03,0.00272969
-2.840300e-03,0.00265156
-2.840200e-03,0.00280469
-2.840100e-03,0.00277344
-2.840000e-03,0.00284688
-2.839900e-03,0.00293125
-2.839800e-03,0.00281406
-2.839700e-03,0.00268125
-2.839600e-03,0.00278437
-2.839500e-03,0.00279375
-2.839400e-03,0.00258906
-2.839300e-03,0.00278437
-2.839200e-03,0.00235156
-2.839100e-03,0.00265469
-2.839000e-03,0.00260625
-2.838900e-03,0.00265625
-2.838800e-03,0.0028
-2.838700e-03,0.00274375
-2.838600e-03,0.00281719
-2.838500e-03,0.00285156
-2.838400e-03,0.00273125
-2.838300e-03,0.00285469
-2.838200e-03,0.00253125
-2.838100e-03,0.00253906
-2.838000e-03,0.00273125
-2.837900e-03,0.00265938
-2.837800e-03,0.00265938
-2.837700e-03,0.00293438
-2.837600e-03,0.00284375
-2.837500e-03,0.00286406
-2.837400e-03,0.00280469
-2.837300e-03,0.00276406
-2.837200e-03,0.00289219
-2.837100e-03,0.00280625
-2.837000e-03,0.00267969
-2.836900e-03,0.00253438
-2.836800e-03,0.00263906
-2.836700e-03,0.00260156
-2.836600e-03,0.002725
-2.836500e-03,0.00260625
-2.836400e-03,0.00281719
-2.836300e-03,0.00293125
-2.836200e-03,0.00268906
-2.836100e-03,0.00260469
-2.836000e-03,0.0027625
-2.835900e-03,0.0027875
-2.835800e-03,0.0025625
-2.835700e-03,0.00254219
-2.835600e-03,0.00234219
-2.835500e-03,0.00254375
-2.835400e-03,0.00259688
-2.835300e-03,0.00254688
-2.835200e-03,0.00261406
-2.835100e-03,0.00266875
-2.835000e-03,0.00275625
-2.834900e-03,0.00256875
-2.834800e-03,0.00266875
-2.834700e-03,0.00264687
-2.834600e-03,0.00273438
-2.834500e-03,0.00266719
-2.834400e-03,0.00255
-2.834300e-03,0.0026125
-2.834200e-03,0.00278437
-2.834100e-03,0.00248906
-2.834000e-03,0.00295469
-2.833900e-03,0.00252969
-2.833800e-03,0.00247969
-2.833700e-03,0.00270469
-2.833600e-03,0.00263125
-2.833500e-03,0.00283125
-2.833400e-03,0.00269219
-2.833300e-03,0.00272188
-2.833200e-03,0.00249375
-2.833100e-03,0.00271875
-2.833000e-03,0.00267656
-2.832900e-03,0.00257969
-2.832800e-03,0.00242187
-2.832700e-03,0.00262344
-2.832600e-03,0.00271719
-2.832500e-03,0.00301406
-2.832400e-03,0.00272188
-2.832300e-03,0.0026375
-2.832200e-03,0.00256719
-2.832100e-03,0.00248125
-2.832000e-03,0.00248125
-2.831900e-03,0.0026125
-2.831800e-03,0.00275469
-2.831700e-03,0.0025125
-2.831600e-03,0.00264844
-2.831500e-03,0.00265938
-2.831400e-03,0.0025375
-2.831300e-03,0.00254688
-2.831200e-03,0.00274688
-2.831100e-03,0.00280938
-2.831000e-03,0.00272188
-2.830900e-03,0.00272188
-2.830800e-03,0.00258906
-2.830700e-03,0.00271875
-2.830600e-03,0.00272969
-2.830500e-03,0.00253438
-2.830400e-03,0.00245469
-2.830300e-03,0.00258906
-2.830200e-03,0.00251875
-2.830100e-03,0.00272969
-2.830000e-03,0.00269375
-2.829900e-03,0.00274219
-2.829800e-03,0.00269375
-2.829700e-03,0.00235
-2.829600e-03,0.0025875
-2.829500e-03,0.00295469
-2.829400e-03,0.0028625
-2.829300e-03,0.00252188
-2.829200e-03,0.00273125
-2.829100e-03,0.0025625
-2.829000e-03,0.00265625
-2.828900e-03,0.00260625
-2.828800e-03,0.00260156
-2.828700e-03,0.00255469
-2.828600e-03,0.00253906
-2.828500e-03,0.00235937
-2.828400e-03,0.0026
-2.828300e-03,0.00275156
-2.828200e-03,0.0024875
-2.828100e-03,0.00296875
-2.828000e-03,0.00294688
-2.827900e-03,0.00271875
-2.827800e-03,0.00286719
-2.827700e-03,0.002825
-2.827600e-03,0.00267188
-2.827500e-03,0.00255938
-2.827400e-03,0.00289219
-2.827300e-03,0.00288125
-2.827200e-03,0.00272656
-2.827100e-03,0.0027375
-2.827000e-03,0.00263125
-2.826900e-03,0.0027375
-2.826800e-03,0.00282188
-2.826700e-03,0.00275625
-2.826600e-03,0.00261875
-2.826500e-03,0.00252188
-2.826400e-03,0.002775
-2.826300e-03,0.00236719
-2.826200e-03,0.00255938
-2.826100e-03,0.00261719
-2.826000e-03,0.00252969
-2.825900e-03,0.00265625
-2.825800e-03,0.00262969
-2.825700e-03,0.00267656
-2.825600e-03,0.00277656
-2.825500e-03,0.00278906
-2.825400e-03,0.00235
-2.825300e-03,0.0025625
-2.825200e-03,0.00286719
-2.825100e-03,0.0028
-2.825000e-03,0.00275469
-2.824900e-03,0.00265625
-2.824800e-03,0.00252969
-2.824700e-03,0.00267188
-2.824600e-03,0.00267188
-2.824500e-03,0.00261875
-2.824400e-03,0.00264219
-2.824300e-03,0.00279219
-2.824200e-03,0.00262969
-2.824100e-03,0.00285625
-2.824000e-03,0.00278906
-2.823900e-03,0.00279688
-2.823800e-03,0.00284688
-2.823700e-03,0.00275625
-2.823600e-03,0.00275
-2.823500e-03,0.00255625
