Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0.00215
Sample Interval,1e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH1-CH2>"
-2.850000e-03,0.00327188
-2.849900e-03,0.003175
-2.849800e-03,0.00309219
-2.849700e-03,0.003075
-2.849600e-03,0.00321719
-2.849500e-03,0.00301719
-2.849400e-03,0.00290156
-2.849300e-03,0.00288438
-2.849200e-03,0.00293438
-2.849100e-03,0.003125
-2.849000e-03,0.00337969
-2.848900e-03,0.00303594
-2.848800e-03,0.00309688
-2.848700e-03,0.00296875
-2.848600e-03,0.00306406
-2.848500e-03,0.00287969
-2.848400e-03,0.003325
-2.848300e-03,0.00331406
-2.848200e-03,0.00313906
-2.848100e-03,0.00322969
-2.848000e-03,0.00312969
-2.847900e-03,0.003025
-2.847800e-03,0.00341719
-2.847700e-03,0.00328125
-2.847600e-03,0.00305625
-2.847500e-03,0.00317656
-2.847400e-03,0.00282969
-2.847300e-03,0.00303906
-2.847200e-03,0.00309219
-2.847100e-03,0.00305469
-2.847000e-03,0.00315156
-2.846900e-03,0.00301406
-2.846800e-03,0.00309844
-2.846700e-03,0.00325469
-2.846600e-03,0.00323125
-2.846500e-03,0.00308594
-2.846400e-03,0.0032375
-2.846300e-03,0.00323125
-2.846200e-03,0.00328906
-2.846100e-03,0.00327969
-2.846000e-03,0.00322656
-2.845900e-03,0.0032125
-2.845800e-03,0.00310156
-2.845700e-03,0.00302188
-2.845600e-03,0.00314219
-2.845500e-03,0.00310156
-2.845400e-03,0.00314375
-2.845300e-03,0.00324219
-2.845200e-03,0.00315625
-2.845100e-03,0.0031375
-2.845000e-03,0.00295938
-2.844900e-03,0.00333438
-2.844800e-03,0.00321406
-2.844700e-03,0.00323906
-2.844600e-03,0.00292187
-2.844500e-03,0.00295938
-2.844400e-03,0.003175
-2.844300e-03,0.00321719
-2.844200e-03,0.00316875
-2.844100e-03,0.0031
-2.844000e-03,0.0031375
-2.843900e-03,0.00306406
-2.843800e-03,0.00326094
-2.843700e-03,0.00303906
-2.843600e-03,0.00301406
-2.843500e-03,0.00329844
-2.843400e-03,0.00318906
-2.843300e-03,0.00308906
-2.843200e-03,0.0031375
-2.843100e-03,0.00316406
-2.843000e-03,0.003
-2.842900e-03,0.0030375
-2.842800e-03,0.00325938
-2.842700e-03,0.00319219
-2.842600e-03,0.0031
-2.842500e-03,0.0032875
-2.842400e-03,0.00315156
-2.842300e-03,0.00331719
-2.842200e-03,0.00312188
-2.842100e-03,0.00323125
-2.842000e-03,0.00319688
-2.841900e-03,0.00324688
-2.841800e-03,0.0031
-2.841700e-03,0.00333125
-2.841600e-03,0.00309375
-2.841500e-03,0.00290938
-2.841400e-03,0.00326875
-2.841300e-03,0.00334688
-2.841200e-03,0.00326719
-2.841100e-03,0.00319688
-2.841000e-03,0.00304375
-2.840900e-03,0.00310469
-2.840800e-03,0.00312344
-2.840700e-03,0.00342188
-2.840600e-03,0.00325156
-2.840500e-03,0.0028875
-2.840400e-03,0.0032875
-2.840300e-03,0.00331406
-2.840200e-03,0.00291875
-2.840100e-03,0.00312656
-2.840000e-03,0.00291406
-2.839900e-03,0.00307656
-2.839800e-03,0.00312188
-2.839700e-03,0.00328594
-2.839600e-03,0.00291719
-2.839500e-03,0.00338125
-2.839400e-03,0.00291719
-2.839300e-03,0.00331875
-2.839200e-03,0.00313125
-2.839100e-03,0.00307187
-2.839000e-03,0.00285937
-2.838900e-03,0.00294688
-2.838800e-03,0.00304219
-2.838700e-03,0.0032625
-2.838600e-03,0.00311406
-2.838500e-03,0.00298125
-2.838400e-03,0.00312188
-2.838300e-03,0.00329375
-2.838200e-03,0.00327969
-2.838100e-03,0.00318125
-2.838000e-03,0.00316875
-2.837900e-03,0.00307969
-2.837800e-03,0.00305625
-2.837700e-03,0.00300156
-2.837600e-03,0.003075
-2.837500e-03,0.00307187
-2.837400e-03,0.00304219
-2.837300e-03,0.00334375
-2.837200e-03,0.00325469
-2.837100e-03,0.00315625
-2.837000e-03,0.00315469
-2.836900e-03,0.0033
-2.836800e-03,0.00315938
-2.836700e-03,0.00336875
-2.836600e-03,0.00307969
-2.836500e-03,0.00328906
-2.836400e-03,0.00314219
-2.836300e-03,0.00276875
-2.836200e-03,0.00301719
-2.836100e-03,0.003
-2.836000e-03,0.003175
-2.835900e-03,0.0032875
-2.835800e-03,0.00292656
-2.835700e-03,0.00320625
-2.835600e-03,0.00312656
-2.835500e-03,0.0030125
-2.835400e-03,0.00295
-2.835300e-03,0.00309688
-2.835200e-03,0.00308125
-2.835100e-03,0.00323906
-2.835000e-03,0.00311719
-2.834900e-03,0.00319688
-2.834800e-03,0.00312656
-2.834700e-03,0.00308438
-2.834600e-03,0.003
-2.834500e-03,0.003075
-2.834400e-03,0.00289375
-2.834300e-03,0.00316406
-2.834200e-03,0.00325156
-2.834100e-03,0.0032375
-2.834000e-03,0.00306406
-2.833900e-03,0.00324375
-2.833800e-03,0.00312969
-2.833700e-03,0.00287969
-2.833600e-03,0.00302969
-2.833500e-03,0.00294844
-2.833400e-03,0.00310938
-2.833300e-03,0.00333906
-2.833200e-03,0.00326719
-2.833100e-03,0.00317188
-2.833000e-03,0.00320469
-2.832900e-03,0.00282656
-2.832800e-03,0.00315156
-2.832700e-03,0.00323906
-2.832600e-03,0.00279844
-2.832500e-03,0.00302188
-2.832400e-03,0.00302188
-2.832300e-03,0.00300938
-2.832200e-03,0.00308594
-2.832100e-03,0.00317188
-2.832000e-03,0.00309219
-2.831900e-03,0.00322656
-2.831800e-03,0.00310625
-2.831700e-03,0.00285937
-2.831600e-03,0.00322969
-2.831500e-03,0.00295469
-2.831400e-03,0.00317656
-2.831300e-03,0.00317656
-2.831200e-03,0.0029625
-2.831100e-03,0.00291719
-2.831000e-03,0.00307656
-2.830900e-03,0.0029625
-2.830800e-03,0.00299375
-2.830700e-03,0.0030125
-2.830600e-03,0.00313594
-2.830500e-03,0.003025
-2.830400e-03,0.0029625
-2.830300e-03,0.00292969
-2.830200e-03,0.00312969
-2.830100e-03,0.003125
-2.830000e-03,0.00290469
-2.829900e-03,0.00303438
-2.829800e-03,0.003075
-2.829700e-03,0.00295938
-2.829600e-03,0.00300469
-2.829500e-03,0.0031125
-2.829400e-03,0.00297188
-2.829300e-03,0.0028625
-2.829200e-03,0.0030125
-2.829100e-03,0.00308125
-2.829000e-03,0.00296406
-2.828900e-03,0.00305469
-2.828800e-03,0.00321719
-2.828700e-03,0.00309219
-2.828600e-03,0.00301406
-2.828500e-03,0.00291719
-2.828400e-03,0.00299219
-2.828300e-03,0.00305156
-2.828200e-03,0.00300625
-2.828100e-03,0.00298906
-2.828000e-03,0.00306875
-2.827900e-03,0.00307969
-2.827800e-03,0.00301875
-2.827700e-03,0.00315938
-2.827600e-03,0.003175
-2.827500e-03,0.00309219
-2.827400e-03,0.003175
-2.827300e-03,0.00315
-2.827200e-03,0.00297969
-2.827100e-03,0.00311406
-2.827000e-03,0.00298906
-2.826900e-03,0.00293125
-2.826800e-03,0.0030125
-2.826700e-03,0.0030625
-2.826600e-03,0.00295625
-2.826500e-03,0.00300625
-2.826400e-03,0.00332188
-2.826300e-03,0.00323438
-2.826200e-03,0.0030375
-2.826100e-03,0.00292187
-2.826000e-03,0.00304219
-2.825900e-03,0.00300156
-2.825800e-03,0.00279375
-2.825700e-03,0.00286719
-2.825600e-03,0.00304375
-2.825500e-03,0.003125
-2.825400e-03,0.00299375
-2.825300e-03,0.00303125
-2.825200e-03,0.00314219
-2.825100e-03,0.00307656
-2.825000e-03,0.00290625
-2.824900e-03,0.00290469
-2.824800e-03,0.00303594
-2.824700e-03,0.00294219
-2.824600e-03,0.00296094
-2.824500e-03,0.00298906
-2.824400e-03,0.003025
-2.824300e-03,0.00308906
-2.824200e-03,0.0030125
-2.824100e-03,0.00301875
-2.824000e-03,0.00302656
-2.823900e-03,0.00287188
-2.823800e-03,0.00305938
-2.823700e-03,0.00296094
-2.823600e-03,0.00289844
-2.823500e-03,0.00295469
-2.823400e-03,0.00317344
