Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,68.900% to 73.100%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
1.249900e-03,-0.00164531
1.250000e-03,-0.00154844
1.250100e-03,-0.00152031
1.250200e-03,-0.00169375
1.250300e-03,-0.00154063
1.250400e-03,-0.00158438
1.250500e-03,-0.00152344
1.250600e-03,-0.001625
1.250700e-03,-0.00157656
1.250800e-03,-0.001625
1.250900e-03,-0.00155469
1.251000e-03,-0.00156563
1.251100e-03,-0.00168125
1.251200e-03,-0.00167188
1.251300e-03,-0.00164375
1.251400e-03,-0.00160625
1.251500e-03,-0.00158906
1.251600e-03,-0.00161094
1.251700e-03,-0.0014625
1.251800e-03,-0.00151406
1.251900e-03,-0.00161094
1.252000e-03,-0.00162969
1.252100e-03,-0.00168438
1.252200e-03,-0.00157188
1.252300e-03,-0.00158594
1.252400e-03,-0.00164531
1.252500e-03,-0.00159687
1.252600e-03,-0.00154531
1.252700e-03,-0.00161875
1.252800e-03,-0.0017
1.252900e-03,-0.00165313
1.253000e-03,-0.00165313
1.253100e-03,-0.00164063
1.253200e-03,-0.00163125
1.253300e-03,-0.00156094
1.253400e-03,-0.00152031
1.253500e-03,-0.0016
1.253600e-03,-0.00159531
1.253700e-03,-0.00172969
1.253800e-03,-0.00152344
1.253900e-03,-0.00164375
1.254000e-03,-0.00166563
1.254100e-03,-0.00167344
1.254200e-03,-0.00154375
1.254300e-03,-0.00148281
1.254400e-03,-0.00162031
1.254500e-03,-0.00161563
1.254600e-03,-0.001575
1.254700e-03,-0.00159687
1.254800e-03,-0.00164531
1.254900e-03,-0.001625
1.255000e-03,-0.00164375
1.255100e-03,-0.00165781
1.255200e-03,-0.0016625
1.255300e-03,-0.00169688
1.255400e-03,-0.001575
1.255500e-03,-0.00160313
1.255600e-03,-0.00158281
1.255700e-03,-0.00166563
1.255800e-03,-0.00161406
1.255900e-03,-0.00159219
1.256000e-03,-0.001625
1.256100e-03,-0.00158594
1.256200e-03,-0.00162813
1.256300e-03,-0.001725
1.256400e-03,-0.00177188
1.256500e-03,-0.00160313
1.256600e-03,-0.00155469
1.256700e-03,-0.00165156
1.256800e-03,-0.00162969
1.256900e-03,-0.00156875
1.257000e-03,-0.00162656
1.257100e-03,-0.00162813
1.257200e-03,-0.00160625
1.257300e-03,-0.00160781
1.257400e-03,-0.00152969
1.257500e-03,-0.00157031
1.257600e-03,-0.00175156
1.257700e-03,-0.00169063
1.257800e-03,-0.00156406
1.257900e-03,-0.00162656
1.258000e-03,-0.00162188
1.258100e-03,-0.00157813
1.258200e-03,-0.00158906
1.258300e-03,-0.00159687
1.258400e-03,-0.001625
1.258500e-03,-0.0015625
1.258600e-03,-0.00163906
1.258700e-03,-0.0015625
1.258800e-03,-0.00161719
1.258900e-03,-0.00168125
1.259000e-03,-0.00169688
1.259100e-03,-0.00153125
1.259200e-03,-0.00159531
1.259300e-03,-0.00157969
1.259400e-03,-0.00157656
1.259500e-03,-0.00154531
1.259600e-03,-0.00155
1.259700e-03,-0.00155
1.259800e-03,-0.00164219
1.259900e-03,-0.00160781
1.260000e-03,-0.00158594
1.260100e-03,-0.00156563
1.260200e-03,-0.00162188
1.260300e-03,-0.00155937
1.260400e-03,-0.00158281
1.260500e-03,-0.00161094
1.260600e-03,-0.001475
1.260700e-03,-0.00157969
1.260800e-03,-0.00157969
1.260900e-03,-0.00162656
1.261000e-03,-0.0016625
1.261100e-03,-0.00165313
1.261200e-03,-0.00163125
1.261300e-03,-0.00157031
1.261400e-03,-0.00169375
1.261500e-03,-0.00155156
1.261600e-03,-0.00153438
1.261700e-03,-0.001575
1.261800e-03,-0.00158594
1.261900e-03,-0.00168281
1.262000e-03,-0.00158906
1.262100e-03,-0.00157188
1.262200e-03,-0.00163437
1.262300e-03,-0.00163906
1.262400e-03,-0.00162969
1.262500e-03,-0.00165625
1.262600e-03,-0.00164219
1.262700e-03,-0.00163281
1.262800e-03,-0.0015875
1.262900e-03,-0.00157188
1.263000e-03,-0.00164531
1.263100e-03,-0.00161094
1.263200e-03,-0.00165938
1.263300e-03,-0.00165469
1.263400e-03,-0.0015625
1.263500e-03,-0.00161406
1.263600e-03,-0.00162188
1.263700e-03,-0.00169531
1.263800e-03,-0.00175938
1.263900e-03,-0.00170156
1.264000e-03,-0.00157656
1.264100e-03,-0.00169688
1.264200e-03,-0.00167344
1.264300e-03,-0.00158438
1.264400e-03,-0.00162813
1.264500e-03,-0.00161875
1.264600e-03,-0.00157188
1.264700e-03,-0.00164531
1.264800e-03,-0.00165469
1.264900e-03,-0.00167344
1.265000e-03,-0.00162188
1.265100e-03,-0.00155937
1.265200e-03,-0.00158281
1.265300e-03,-0.00161719
1.265400e-03,-0.00160313
1.265500e-03,-0.00168125
1.265600e-03,-0.001575
1.265700e-03,-0.00160156
1.265800e-03,-0.00164844
1.265900e-03,-0.00161563
1.266000e-03,-0.00174219
1.266100e-03,-0.00161406
1.266200e-03,-0.00163125
1.266300e-03,-0.001575
1.266400e-03,-0.00164219
1.266500e-03,-0.00157969
1.266600e-03,-0.00156719
1.266700e-03,-0.00160156
1.266800e-03,-0.00172188
1.266900e-03,-0.00156875
1.267000e-03,-0.00148906
1.267100e-03,-0.00156875
1.267200e-03,-0.00165938
1.267300e-03,-0.00169531
1.267400e-03,-0.0015125
1.267500e-03,-0.00160938
1.267600e-03,-0.00160625
1.267700e-03,-0.00155625
1.267800e-03,-0.00158594
1.267900e-03,-0.00161719
1.268000e-03,-0.00174062
1.268100e-03,-0.00163281
1.268200e-03,-0.00154531
1.268300e-03,-0.0014875
1.268400e-03,-0.00169844
1.268500e-03,-0.00156563
1.268600e-03,-0.00160938
1.268700e-03,-0.00164531
1.268800e-03,-0.00174688
1.268900e-03,-0.00169375
1.269000e-03,-0.00157969
1.269100e-03,-0.00155
1.269200e-03,-0.00163906
1.269300e-03,-0.00157188
1.269400e-03,-0.00157969
1.269500e-03,-0.00159375
1.269600e-03,-0.001625
1.269700e-03,-0.00159531
1.269800e-03,-0.00173594
1.269900e-03,-0.00152188
1.270000e-03,-0.00166563
1.270100e-03,-0.00168125
1.270200e-03,-0.00161875
1.270300e-03,-0.00166875
1.270400e-03,-0.00167656
1.270500e-03,-0.00159531
1.270600e-03,-0.00158906
1.270700e-03,-0.00163125
1.270800e-03,-0.00161563
1.270900e-03,-0.00162656
1.271000e-03,-0.00164688
1.271100e-03,-0.00169375
1.271200e-03,-0.00156094
1.271300e-03,-0.00157656
1.271400e-03,-0.00155313
1.271500e-03,-0.00173125
1.271600e-03,-0.00169219
1.271700e-03,-0.00159687
1.271800e-03,-0.00168438
1.271900e-03,-0.00161875
1.272000e-03,-0.00163906
1.272100e-03,-0.00173125
1.272200e-03,-0.00165781
1.272300e-03,-0.00160625
1.272400e-03,-0.00168125
1.272500e-03,-0.00161719
1.272600e-03,-0.00171406
1.272700e-03,-0.00167969
1.272800e-03,-0.00161406
1.272900e-03,-0.00160781
1.273000e-03,-0.00169063
1.273100e-03,-0.00162656
1.273200e-03,-0.00154219
1.273300e-03,-0.00155313
1.273400e-03,-0.00168438
1.273500e-03,-0.00158594
1.273600e-03,-0.00155469
1.273700e-03,-0.00162188
1.273800e-03,-0.00161875
1.273900e-03,-0.00170156
1.274000e-03,-0.001575
1.274100e-03,-0.00165625
1.274200e-03,-0.00161563
1.274300e-03,-0.00158125
1.274400e-03,-0.00158594
1.274500e-03,-0.00160938
1.274600e-03,-0.00169219
1.274700e-03,-0.00171094
1.274800e-03,-0.00167656
1.274900e-03,-0.0017
1.275000e-03,-0.0016625
1.275100e-03,-0.00159687
1.275200e-03,-0.00169063
1.275300e-03,-0.00156875
1.275400e-03,-0.00176719
1.275500e-03,-0.0016625
1.275600e-03,-0.00175938
1.275700e-03,-0.00175938
1.275800e-03,-0.00164844
1.275900e-03,-0.00170156
1.276000e-03,-0.00174531
1.276100e-03,-0.00161719
1.276200e-03,-0.0017625
1.276300e-03,-0.00165938
1.276400e-03,-0.00164688
