Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,49.500% to 53.500%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
-6.901000e-04,0.00117187
-6.900000e-04,0.00123125
-6.899000e-04,0.00120156
-6.898000e-04,0.00118281
-6.897000e-04,0.00124062
-6.896000e-04,0.00125
-6.895000e-04,0.00125781
-6.894000e-04,0.0012
-6.893000e-04,0.0012
-6.892000e-04,0.00128906
-6.891000e-04,0.00131875
-6.890000e-04,0.00130313
-6.889000e-04,0.00125
-6.888000e-04,0.00114219
-6.887000e-04,0.0013375
-6.886000e-04,0.0012875
-6.885000e-04,0.00127031
-6.884000e-04,0.00117344
-6.883000e-04,0.00138125
-6.882000e-04,0.00120781
-6.881000e-04,0.0012125
-6.880000e-04,0.00129219
-6.879000e-04,0.00130625
-6.878000e-04,0.0012375
-6.877000e-04,0.00137031
-6.876000e-04,0.00133906
-6.875000e-04,0.00130156
-6.874000e-04,0.00131563
-6.873000e-04,0.00132344
-6.872000e-04,0.00130625
-6.871000e-04,0.00127969
-6.870000e-04,0.00135313
-6.869000e-04,0.00126406
-6.868000e-04,0.00117344
-6.867000e-04,0.00121094
-6.866000e-04,0.00133438
-6.865000e-04,0.00134687
-6.864000e-04,0.00133906
-6.863000e-04,0.0011875
-6.862000e-04,0.00129688
-6.861000e-04,0.00127812
-6.860000e-04,0.00125313
-6.859000e-04,0.00127031
-6.858000e-04,0.00136875
-6.857000e-04,0.00125313
-6.856000e-04,0.00133438
-6.855000e-04,0.00130625
-6.854000e-04,0.00122969
-6.853000e-04,0.00136875
-6.852000e-04,0.00143438
-6.851000e-04,0.00141719
-6.850000e-04,0.00136094
-6.849000e-04,0.00129063
-6.848000e-04,0.0014375
-6.847000e-04,0.00141406
-6.846000e-04,0.00135156
-6.845000e-04,0.00137813
-6.844000e-04,0.00130156
-6.843000e-04,0.00127656
-6.842000e-04,0.00143125
-6.841000e-04,0.00135781
-6.840000e-04,0.00138594
-6.839000e-04,0.00132344
-6.838000e-04,0.00134531
-6.837000e-04,0.00148594
-6.836000e-04,0.0014
-6.835000e-04,0.00140313
-6.834000e-04,0.00144063
-6.833000e-04,0.00138125
-6.832000e-04,0.00145781
-6.831000e-04,0.00150625
-6.830000e-04,0.00152969
-6.829000e-04,0.00139219
-6.828000e-04,0.00147344
-6.827000e-04,0.00135313
-6.826000e-04,0.00150938
-6.825000e-04,0.00147188
-6.824000e-04,0.00145781
-6.823000e-04,0.00146094
-6.822000e-04,0.00146406
-6.821000e-04,0.00148281
-6.820000e-04,0.00145469
-6.819000e-04,0.00138594
-6.818000e-04,0.00141719
-6.817000e-04,0.00143438
-6.816000e-04,0.00149688
-6.815000e-04,0.0015375
-6.814000e-04,0.00150313
-6.813000e-04,0.00150313
-6.812000e-04,0.00155
-6.811000e-04,0.00144844
-6.810000e-04,0.00144531
-6.809000e-04,0.00141719
-6.808000e-04,0.00160625
-6.807000e-04,0.0015125
-6.806000e-04,0.00162031
-6.805000e-04,0.00157969
-6.804000e-04,0.00151563
-6.803000e-04,0.00147656
-6.802000e-04,0.00166094
-6.801000e-04,0.00150313
-6.800000e-04,0.0015125
-6.799000e-04,0.0014875
-6.798000e-04,0.00156563
-6.797000e-04,0.0016125
-6.796000e-04,0.00150781
-6.795000e-04,0.00155469
-6.794000e-04,0.00155
-6.793000e-04,0.0015375
-6.792000e-04,0.00154844
-6.791000e-04,0.00147969
-6.790000e-04,0.00148438
-6.789000e-04,0.0015375
-6.788000e-04,0.00155937
-6.787000e-04,0.00153281
-6.786000e-04,0.001575
-6.785000e-04,0.0014
-6.784000e-04,0.0015375
-6.783000e-04,0.00150469
-6.782000e-04,0.00154219
-6.781000e-04,0.00150938
-6.780000e-04,0.00153906
-6.779000e-04,0.00155156
-6.778000e-04,0.00160625
-6.777000e-04,0.0015875
-6.776000e-04,0.00157188
-6.775000e-04,0.00162656
-6.774000e-04,0.00160469
-6.773000e-04,0.00160938
-6.772000e-04,0.00151406
-6.771000e-04,0.0016375
-6.770000e-04,0.00156875
-6.769000e-04,0.00156875
-6.768000e-04,0.00162188
-6.767000e-04,0.00163281
-6.766000e-04,0.00163906
-6.765000e-04,0.00151875
-6.764000e-04,0.00156875
-6.763000e-04,0.0016125
-6.762000e-04,0.00167031
-6.761000e-04,0.00171406
-6.760000e-04,0.00169688
-6.759000e-04,0.00156406
-6.758000e-04,0.00154844
-6.757000e-04,0.00167969
-6.756000e-04,0.00162813
-6.755000e-04,0.00162188
-6.754000e-04,0.00159531
-6.753000e-04,0.00171875
-6.752000e-04,0.00167813
-6.751000e-04,0.00171406
-6.750000e-04,0.00160313
-6.749000e-04,0.00166406
-6.748000e-04,0.001625
-6.747000e-04,0.00161563
-6.746000e-04,0.00173438
-6.745000e-04,0.00173281
-6.744000e-04,0.00163281
-6.743000e-04,0.00167031
-6.742000e-04,0.00170156
-6.741000e-04,0.00174844
-6.740000e-04,0.00173281
-6.739000e-04,0.00149688
-6.738000e-04,0.00165469
-6.737000e-04,0.00164063
-6.736000e-04,0.00166563
-6.735000e-04,0.00172344
-6.734000e-04,0.00171719
-6.733000e-04,0.00166563
-6.732000e-04,0.001625
-6.731000e-04,0.00178906
-6.730000e-04,0.00167656
-6.729000e-04,0.00170781
-6.728000e-04,0.00173281
-6.727000e-04,0.00173438
-6.726000e-04,0.00172031
-6.725000e-04,0.00177969
-6.724000e-04,0.00175
-6.723000e-04,0.00174375
-6.722000e-04,0.00177031
-6.721000e-04,0.00183281
-6.720000e-04,0.00170469
-6.719000e-04,0.0018125
-6.718000e-04,0.00180625
-6.717000e-04,0.00167656
-6.716000e-04,0.00170938
-6.715000e-04,0.001725
-6.714000e-04,0.00177344
-6.713000e-04,0.00175625
-6.712000e-04,0.00173125
-6.711000e-04,0.00171563
-6.710000e-04,0.00184219
-6.709000e-04,0.00174844
-6.708000e-04,0.00183906
-6.707000e-04,0.00182813
-6.706000e-04,0.001825
-6.705000e-04,0.00178281
-6.704000e-04,0.00180313
-6.703000e-04,0.00173906
-6.702000e-04,0.00173125
-6.701000e-04,0.00187969
-6.700000e-04,0.00189844
-6.699000e-04,0.00183906
-6.698000e-04,0.00176563
-6.697000e-04,0.00182969
-6.696000e-04,0.00180313
-6.695000e-04,0.00181875
-6.694000e-04,0.00189844
-6.693000e-04,0.00186094
-6.692000e-04,0.00181719
-6.691000e-04,0.00185938
-6.690000e-04,0.00184375
-6.689000e-04,0.00175469
-6.688000e-04,0.0017875
-6.687000e-04,0.00182188
-6.686000e-04,0.00186563
-6.685000e-04,0.00190938
-6.684000e-04,0.00189531
-6.683000e-04,0.00197969
-6.682000e-04,0.001825
-6.681000e-04,0.00186719
-6.680000e-04,0.00179375
-6.679000e-04,0.00183594
-6.678000e-04,0.0018125
-6.677000e-04,0.00187188
-6.676000e-04,0.00197813
-6.675000e-04,0.00190625
-6.674000e-04,0.00191563
-6.673000e-04,0.00177969
-6.672000e-04,0.00193438
-6.671000e-04,0.0019375
-6.670000e-04,0.00190156
-6.669000e-04,0.00185938
-6.668000e-04,0.00183438
-6.667000e-04,0.00191094
-6.666000e-04,0.00199531
-6.665000e-04,0.00183906
-6.664000e-04,0.00201719
-6.663000e-04,0.00196094
-6.662000e-04,0.00182969
-6.661000e-04,0.00191406
-6.660000e-04,0.00183594
-6.659000e-04,0.00196875
-6.658000e-04,0.00196094
-6.657000e-04,0.00186875
-6.656000e-04,0.00195781
-6.655000e-04,0.00197656
-6.654000e-04,0.00200313
-6.653000e-04,0.00194688
-6.652000e-04,0.00196562
-6.651000e-04,0.00208281
-6.650000e-04,0.00192813
-6.649000e-04,0.00195469
-6.648000e-04,0.00196406
-6.647000e-04,0.00190156
-6.646000e-04,0.00203906
-6.645000e-04,0.00200938
-6.644000e-04,0.00190938
-6.643000e-04,0.00184219
-6.642000e-04,0.0018875
-6.641000e-04,0.00207969
-6.640000e-04,0.00203906
-6.639000e-04,0.00193906
-6.638000e-04,0.00194688
-6.637000e-04,0.00212813
-6.636000e-04,0.00205781
