Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
-5.621100e-03,-0.0031
-5.621000e-03,-0.00318438
-5.620900e-03,-0.00318906
-5.620800e-03,-0.00308438
-5.620700e-03,-0.00316094
-5.620600e-03,-0.00316563
-5.620500e-03,-0.00316875
-5.620400e-03,-0.00316875
-5.620300e-03,-0.00320313
-5.620200e-03,-0.00319375
-5.620100e-03,-0.00311406
-5.620000e-03,-0.00310625
-5.619900e-03,-0.00307187
-5.619800e-03,-0.003175
-5.619700e-03,-0.00308594
-5.619600e-03,-0.00310625
-5.619500e-03,-0.00314063
-5.619400e-03,-0.00321875
-5.619300e-03,-0.00320781
-5.619200e-03,-0.0032125
-5.619100e-03,-0.003175
-5.619000e-03,-0.00315
-5.618900e-03,-0.00305625
-5.618800e-03,-0.00315
-5.618700e-03,-0.0031375
-5.618600e-03,-0.00319375
-5.618500e-03,-0.00311875
-5.618400e-03,-0.0031375
-5.618300e-03,-0.00311406
-5.618200e-03,-0.003125
-5.618100e-03,-0.00314063
-5.618000e-03,-0.00318438
-5.617900e-03,-0.00324063
-5.617800e-03,-0.00318906
-5.617700e-03,-0.00322188
-5.617600e-03,-0.00318125
-5.617500e-03,-0.003175
-5.617400e-03,-0.00317188
-5.617300e-03,-0.00313125
-5.617200e-03,-0.003275
-5.617100e-03,-0.00315313
-5.617000e-03,-0.00306563
-5.616900e-03,-0.003225
-5.616800e-03,-0.00316875
-5.616700e-03,-0.00318125
-5.616600e-03,-0.00305469
-5.616500e-03,-0.00306563
-5.616400e-03,-0.00309063
-5.616300e-03,-0.00323125
-5.616200e-03,-0.00315313
-5.616100e-03,-0.00316875
-5.616000e-03,-0.0032375
-5.615900e-03,-0.0031875
-5.615800e-03,-0.00314063
-5.615700e-03,-0.00306406
-5.615600e-03,-0.00315313
-5.615500e-03,-0.00325312
-5.615400e-03,-0.00314688
-5.615300e-03,-0.003225
-5.615200e-03,-0.00322188
-5.615100e-03,-0.00311094
-5.615000e-03,-0.00319375
-5.614900e-03,-0.00317812
-5.614800e-03,-0.00318906
-5.614700e-03,-0.0032125
-5.614600e-03,-0.00319844
-5.614500e-03,-0.00318438
-5.614400e-03,-0.00317188
-5.614300e-03,-0.003175
-5.614200e-03,-0.00312813
-5.614100e-03,-0.00320313
-5.614000e-03,-0.00326563
-5.613900e-03,-0.00317188
-5.613800e-03,-0.0031375
-5.613700e-03,-0.00311875
-5.613600e-03,-0.00320625
-5.613500e-03,-0.0032375
-5.613400e-03,-0.00314688
-5.613300e-03,-0.00324063
-5.613200e-03,-0.003225
-5.613100e-03,-0.00316875
-5.613000e-03,-0.00325625
-5.612900e-03,-0.00308906
-5.612800e-03,-0.0031375
-5.612700e-03,-0.00314688
-5.612600e-03,-0.00310938
-5.612500e-03,-0.00311563
-5.612400e-03,-0.00327656
-5.612300e-03,-0.00313125
-5.612200e-03,-0.00312813
-5.612100e-03,-0.00310625
-5.612000e-03,-0.0031125
-5.611900e-03,-0.00312813
-5.611800e-03,-0.00322813
-5.611700e-03,-0.00315938
-5.611600e-03,-0.00312188
-5.611500e-03,-0.00307813
-5.611400e-03,-0.0031125
-5.611300e-03,-0.00317812
-5.611200e-03,-0.00317812
-5.611100e-03,-0.003175
-5.611000e-03,-0.00319375
-5.610900e-03,-0.00320937
-5.610800e-03,-0.0032125
-5.610700e-03,-0.00312813
-5.610600e-03,-0.00304375
-5.610500e-03,-0.00314063
-5.610400e-03,-0.00324688
-5.610300e-03,-0.00317188
-5.610200e-03,-0.00316875
-5.610100e-03,-0.00322188
-5.610000e-03,-0.00314688
-5.609900e-03,-0.00315625
-5.609800e-03,-0.00320625
-5.609700e-03,-0.00321563
-5.609600e-03,-0.00316875
-5.609500e-03,-0.00314063
-5.609400e-03,-0.00319375
-5.609300e-03,-0.00316563
-5.609200e-03,-0.00310312
-5.609100e-03,-0.0031125
-5.609000e-03,-0.00313594
-5.608900e-03,-0.00325
-5.608800e-03,-0.0031875
-5.608700e-03,-0.00320625
-5.608600e-03,-0.00313281
-5.608500e-03,-0.00313594
-5.608400e-03,-0.00319688
-5.608300e-03,-0.003225
-5.608200e-03,-0.00309688
-5.608100e-03,-0.00310938
-5.608000e-03,-0.00315313
-5.607900e-03,-0.00316094
-5.607800e-03,-0.00321563
-5.607700e-03,-0.0031125
-5.607600e-03,-0.00320313
-5.607500e-03,-0.0031625
-5.607400e-03,-0.00310625
-5.607300e-03,-0.00312813
-5.607200e-03,-0.00322813
-5.607100e-03,-0.00314375
-5.607000e-03,-0.00310938
-5.606900e-03,-0.00310938
-5.606800e-03,-0.00318438
-5.606700e-03,-0.00315625
-5.606600e-03,-0.00320937
-5.606500e-03,-0.003225
-5.606400e-03,-0.00313125
-5.606300e-03,-0.00314375
-5.606200e-03,-0.0032
-5.606100e-03,-0.00320625
-5.606000e-03,-0.00317812
