Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.00064
Sample Interval,1e-07
Record Length,100000
Gating,41.100% to 44.100%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,"MATH<CH2-CH1>"
-1.530100e-03,-0.00325938
-1.530000e-03,-0.00324688
-1.529900e-03,-0.00316094
-1.529800e-03,-0.00316094
-1.529700e-03,-0.00329219
-1.529600e-03,-0.00329219
-1.529500e-03,-0.00327188
-1.529400e-03,-0.00329688
-1.529300e-03,-0.00329063
-1.529200e-03,-0.00333281
-1.529100e-03,-0.0032375
-1.529000e-03,-0.00326875
-1.528900e-03,-0.00315938
-1.528800e-03,-0.003275
-1.528700e-03,-0.00324688
-1.528600e-03,-0.0033375
-1.528500e-03,-0.00328906
-1.528400e-03,-0.00337188
-1.528300e-03,-0.00331094
-1.528200e-03,-0.0031625
-1.528100e-03,-0.00324688
-1.528000e-03,-0.00320313
-1.527900e-03,-0.00325
-1.527800e-03,-0.00333281
-1.527700e-03,-0.0032625
-1.527600e-03,-0.0032875
-1.527500e-03,-0.00329531
-1.527400e-03,-0.00313906
-1.527300e-03,-0.00319063
-1.527200e-03,-0.00319375
-1.527100e-03,-0.00329844
-1.527000e-03,-0.00320781
-1.526900e-03,-0.00323281
-1.526800e-03,-0.00326719
-1.526700e-03,-0.00313438
-1.526600e-03,-0.00320313
-1.526500e-03,-0.00318906
-1.526400e-03,-0.0032
-1.526300e-03,-0.00325938
-1.526200e-03,-0.00324531
-1.526100e-03,-0.00330781
-1.526000e-03,-0.00317188
-1.525900e-03,-0.00332344
-1.525800e-03,-0.00333125
-1.525700e-03,-0.00325
-1.525600e-03,-0.00320156
-1.525500e-03,-0.00321719
-1.525400e-03,-0.00319688
-1.525300e-03,-0.00325156
-1.525200e-03,-0.00322344
-1.525100e-03,-0.00313125
-1.525000e-03,-0.00314688
-1.524900e-03,-0.00314688
-1.524800e-03,-0.00318125
-1.524700e-03,-0.00315781
-1.524600e-03,-0.00322188
-1.524500e-03,-0.00322188
-1.524400e-03,-0.0032
-1.524300e-03,-0.00320937
-1.524200e-03,-0.00331562
-1.524100e-03,-0.00322344
-1.524000e-03,-0.00319844
-1.523900e-03,-0.00312656
-1.523800e-03,-0.00318594
-1.523700e-03,-0.0032125
-1.523600e-03,-0.00334688
-1.523500e-03,-0.00320313
-1.523400e-03,-0.00323906
-1.523300e-03,-0.00302656
-1.523200e-03,-0.00316094
-1.523100e-03,-0.00316406
-1.523000e-03,-0.00314375
-1.522900e-03,-0.00320937
-1.522800e-03,-0.00314531
-1.522700e-03,-0.00313281
-1.522600e-03,-0.00324063
-1.522500e-03,-0.00320313
-1.522400e-03,-0.00319375
-1.522300e-03,-0.00320937
-1.522200e-03,-0.00322969
-1.522100e-03,-0.00312656
-1.522000e-03,-0.00322656
-1.521900e-03,-0.00315625
-1.521800e-03,-0.0031375
-1.521700e-03,-0.00313125
-1.521600e-03,-0.00309688
-1.521500e-03,-0.00317188
-1.521400e-03,-0.00309531
-1.521300e-03,-0.00318438
-1.521200e-03,-0.00324219
-1.521100e-03,-0.00316406
-1.521000e-03,-0.00311719
-1.520900e-03,-0.00316719
-1.520800e-03,-0.0031375
-1.520700e-03,-0.00321563
-1.520600e-03,-0.00313438
-1.520500e-03,-0.00312656
-1.520400e-03,-0.00310156
-1.520300e-03,-0.00305625
-1.520200e-03,-0.00313438
-1.520100e-03,-0.00304688
-1.520000e-03,-0.00309531
-1.519900e-03,-0.00316875
-1.519800e-03,-0.00309375
-1.519700e-03,-0.00310312
-1.519600e-03,-0.00310469
-1.519500e-03,-0.00319219
-1.519400e-03,-0.00319531
-1.519300e-03,-0.00300625
-1.519200e-03,-0.00316406
-1.519100e-03,-0.003125
-1.519000e-03,-0.00322969
-1.518900e-03,-0.00309531
-1.518800e-03,-0.00308906
-1.518700e-03,-0.00309219
-1.518600e-03,-0.00306719
-1.518500e-03,-0.00309531
-1.518400e-03,-0.00316719
-1.518300e-03,-0.0032
-1.518200e-03,-0.00304531
-1.518100e-03,-0.00313438
-1.518000e-03,-0.00323281
-1.517900e-03,-0.00306406
-1.517800e-03,-0.00309063
-1.517700e-03,-0.00312969
-1.517600e-03,-0.00314063
-1.517500e-03,-0.00315313
-1.517400e-03,-0.00308906
-1.517300e-03,-0.00310781
-1.517200e-03,-0.00304375
-1.517100e-03,-0.00307031
-1.517000e-03,-0.00312813
-1.516900e-03,-0.00300781
-1.516800e-03,-0.00306719
-1.516700e-03,-0.00311094
-1.516600e-03,-0.00311563
-1.516500e-03,-0.00308906
-1.516400e-03,-0.0031
-1.516300e-03,-0.00307187
-1.516200e-03,-0.003125
-1.516100e-03,-0.00312188
-1.516000e-03,-0.00303438
-1.515900e-03,-0.00305625
-1.515800e-03,-0.00301875
-1.515700e-03,-0.00307656
-1.515600e-03,-0.00313438
-1.515500e-03,-0.00304375
-1.515400e-03,-0.00303125
-1.515300e-03,-0.00305781
-1.515200e-03,-0.0031125
-1.515100e-03,-0.00304844
-1.515000e-03,-0.00313906
-1.514900e-03,-0.00308125
-1.514800e-03,-0.0030875
-1.514700e-03,-0.00320625
-1.514600e-03,-0.00306719
-1.514500e-03,-0.003125
-1.514400e-03,-0.00306563
-1.514300e-03,-0.003125
-1.514200e-03,-0.003075
-1.514100e-03,-0.00305313
-1.514000e-03,-0.00298594
-1.513900e-03,-0.00304844
-1.513800e-03,-0.00311563
-1.513700e-03,-0.00302656
-1.513600e-03,-0.00297344
-1.513500e-03,-0.00311875
-1.513400e-03,-0.0029625
-1.513300e-03,-0.00310156
-1.513200e-03,-0.00309063
-1.513100e-03,-0.00304219
-1.513000e-03,-0.00308594
-1.512900e-03,-0.00304375
-1.512800e-03,-0.00300156
-1.512700e-03,-0.00309531
-1.512600e-03,-0.00303906
-1.512500e-03,-0.00305625
-1.512400e-03,-0.00296094
-1.512300e-03,-0.002975
-1.512200e-03,-0.00299687
-1.512100e-03,-0.0030125
-1.512000e-03,-0.00303594
-1.511900e-03,-0.00300156
-1.511800e-03,-0.00290625
-1.511700e-03,-0.00291563
-1.511600e-03,-0.00297969
-1.511500e-03,-0.00294688
-1.511400e-03,-0.00302188
-1.511300e-03,-0.00299531
-1.511200e-03,-0.003025
-1.511100e-03,-0.00305938
-1.511000e-03,-0.00308594
-1.510900e-03,-0.00300938
-1.510800e-03,-0.00305156
-1.510700e-03,-0.00301719
-1.510600e-03,-0.00296406
-1.510500e-03,-0.00302656
-1.510400e-03,-0.00296719
-1.510300e-03,-0.00298438
-1.510200e-03,-0.00298125
-1.510100e-03,-0.00297656
-1.510000e-03,-0.00293906
-1.509900e-03,-0.00293438
-1.509800e-03,-0.00297031
-1.509700e-03,-0.00302969
-1.509600e-03,-0.00287969
-1.509500e-03,-0.00297656
-1.509400e-03,-0.00304063
-1.509300e-03,-0.00299844
-1.509200e-03,-0.00297344
-1.509100e-03,-0.00305625
-1.509000e-03,-0.00296406
-1.508900e-03,-0.00294844
-1.508800e-03,-0.003025
-1.508700e-03,-0.00305781
-1.508600e-03,-0.00303281
-1.508500e-03,-0.00303906
-1.508400e-03,-0.00295625
-1.508300e-03,-0.00295625
-1.508200e-03,-0.0028625
-1.508100e-03,-0.00289844
-1.508000e-03,-0.00305938
-1.507900e-03,-0.00288125
-1.507800e-03,-0.00301875
-1.507700e-03,-0.00297344
-1.507600e-03,-0.00290938
-1.507500e-03,-0.00296719
-1.507400e-03,-0.00285781
-1.507300e-03,-0.00285781
-1.507200e-03,-0.002925
-1.507100e-03,-0.00291563
-1.507000e-03,-0.00290625
-1.506900e-03,-0.00295938
-1.506800e-03,-0.00292031
-1.506700e-03,-0.00287656
-1.506600e-03,-0.00297813
-1.506500e-03,-0.00294375
-1.506400e-03,-0.00293281
-1.506300e-03,-0.00282656
-1.506200e-03,-0.00303281
-1.506100e-03,-0.00289844
-1.506000e-03,-0.002925
-1.505900e-03,-0.0029125
-1.505800e-03,-0.00287656
-1.505700e-03,-0.00291719
-1.505600e-03,-0.00289375
-1.505500e-03,-0.00291719
-1.505400e-03,-0.00287813
-1.505300e-03,-0.00285781
